DATE,Sample1_S
2023-10-30,12344.0
2023-11-06,0.0
2023-11-13,0.0
2023-11-20,0.0
2023-11-27,23333.6
2023-12-04,0.0
2023-12-11,0.0
2023-12-18,0.0
2023-12-25,0.0
2024-01-01,4444.0
2024-01-08,0.0
2024-01-15,0.0
2024-01-22,0.0
2024-01-29,0.0
2024-02-05,0.0
2024-02-12,0.0
2024-02-19,0.0
2024-02-26,5555.0
2024-03-04,0.0
2024-03-11,0.0
2024-03-18,0.0
2024-03-25,0.0
2024-04-01,0.0
2024-04-08,0.0
2024-04-15,0.0
2024-04-22,0.0
2024-04-29,333.0
2024-05-06,0.0
2024-05-13,0.0
2024-05-20,0.0
2024-05-27,11.4
2024-06-03,0.0
2024-06-10,0.0
2024-06-17,0.0
2024-06-24,0.0
2024-07-01,14680.05
